Index/Date,Nifty 50,Nifty Next 50,Nifty Midcap 150,Nifty Smallcap 250
04-06-2026,20.21,18.97,28.56,33.77
05-06-2026,20.17,19.0,28.48,33.77
08-06-2026,19.96,18.67,28.06,33.17
09-06-2026,20.06,18.94,28.43,33.62
10-06-2026,20.02,18.72,28.05,33.23
11-06-2026,19.98,18.51,27.81,32.95
12-06-2026,20.37,18.93,28.48,33.82
15-06-2026,20.57,19.39,28.9,34.24
16-06-2026,20.69,19.42,29.01,34.39
17-06-2026,20.77,19.54,29.16,34.64
18-06-2026,20.85,19.63,29.3,34.88
19-06-2026,20.71,19.48,29.4,35.07
22-06-2026,20.79,19.68,29.53,35.34
23-06-2026,20.55,18.79,29.25,35.14
24-06-2026,20.72,18.75,29.27,35.21
25-06-2026,20.75,18.78,29.11,35.05
29-06-2026,20.65,18.61,29.02,34.89
30-06-2026,20.58,18.67,29.17,35.52
01-07-2026,20.7,18.79,29.24,35.68
02-07-2026,,,,
03-07-2026,20.92,18.83,29.32,36.07
